TimeGenerated,ActionType,RemoteIP,RemotePort,RemoteUrl,Protocol,InitiatingProcessAccountName,InitiatingProcessFileName
"Sep 1, 2026 1:42:39 PM",ConnectionAttempt,195.184.76.113,34223,,TcpV4,,
"Sep 1, 2026 1:42:53 PM",ConnectionAttempt,192.248.150.180,53225,,TcpV4,,
"Sep 1, 2026 1:42:55 PM",ConnectionAttempt,147.185.133.71,56700,,TcpV4,,
"Sep 1, 2026 1:43:03 PM",ConnectionAttempt,162.216.149.230,55045,,TcpV4,,
"Sep 1, 2026 1:43:07 PM",ConnectionAttempt,77.239.124.123,44335,,TcpV4,,
"Sep 1, 2026 1:43:17 PM",ConnectionAttempt,34.228.104.231,61234,,TcpV4,,
"Sep 1, 2026 1:43:23 PM",ConnectionAttempt,45.82.76.105,48505,,TcpV4,,
"Sep 1, 2026 1:43:27 PM",ConnectionAttempt,185.190.25.168,43838,,TcpV4,,
"Sep 1, 2026 1:43:31 PM",ConnectionAttempt,130.12.180.246,52601,,TcpV4,,
"Sep 1, 2026 1:43:37 PM",ConnectionAttempt,200.69.61.236,33051,,TcpV4,,
"Sep 1, 2026 1:43:41 PM",ConnectionAttempt,162.216.149.186,51431,,TcpV4,,
"Sep 1, 2026 1:43:53 PM",ConnectionAttempt,147.185.132.239,54931,,TcpV4,,
"Sep 1, 2026 1:43:55 PM",ConnectionAttempt,35.203.211.207,51647,,TcpV4,,
"Sep 1, 2026 1:43:55 PM",ConnectionAttempt,78.128.114.46,49423,,TcpV4,,
"Sep 1, 2026 1:43:59 PM",ConnectionAttempt,20.14.74.149,48970,,TcpV4,,
"Sep 1, 2026 1:44:03 PM",ConnectionAttempt,164.92.116.191,61004,,TcpV4,,
"Sep 1, 2026 1:44:07 PM",ConnectionAttempt,91.231.89.69,52855,,TcpV4,,
"Sep 1, 2026 1:44:09 PM",ConnectionAttempt,193.163.125.123,35553,,TcpV4,,
"Sep 1, 2026 1:44:11 PM",ConnectionAttempt,91.230.168.253,59883,,TcpV4,,
"Sep 1, 2026 1:44:13 PM",ConnectionAttempt,35.203.211.80,50457,,TcpV4,,
"Sep 1, 2026 1:44:19 PM",ConnectionAttempt,35.203.210.224,56433,,TcpV4,,
"Sep 1, 2026 1:44:29 PM",ConnectionAttempt,192.159.99.144,41119,,TcpV4,,
"Sep 1, 2026 1:44:35 PM",ConnectionAttempt,91.191.209.198,42376,,TcpV4,,
"Sep 1, 2026 1:44:37 PM",ConnectionAttempt,162.216.149.73,52736,,TcpV4,,
"Sep 1, 2026 1:44:43 PM",ConnectionAttempt,216.25.89.133,52891,,TcpV4,,
"Sep 1, 2026 1:44:51 PM",ConnectionAttempt,130.12.180.246,65365,,TcpV4,,
"Sep 1, 2026 1:44:53 PM",ConnectionAttempt,162.216.149.88,49822,,TcpV4,,
"Sep 1, 2026 1:44:57 PM",ConnectionAttempt,43.228.157.10,7106,,TcpV4,,
"Sep 1, 2026 1:45:01 PM",ConnectionAttempt,91.196.152.33,8267,,TcpV4,,
"Sep 1, 2026 1:45:05 PM",ConnectionAttempt,162.216.149.171,51928,,TcpV4,,
"Sep 1, 2026 1:45:37 PM",ConnectionAttempt,35.203.211.198,50195,,TcpV4,,
"Sep 1, 2026 1:46:05 PM",ConnectionAttempt,147.185.133.13,50232,,TcpV4,,
"Sep 1, 2026 1:46:05 PM",ConnectionAttempt,91.231.89.211,6192,,TcpV4,,
"Sep 1, 2026 1:46:09 PM",ConnectionAttempt,35.203.211.202,50639,,TcpV4,,
"Sep 1, 2026 1:46:19 PM",ConnectionAttempt,147.185.132.58,51681,,TcpV4,,
"Sep 1, 2026 1:46:27 PM",ConnectionAttempt,162.216.149.54,56859,,TcpV4,,
"Sep 1, 2026 1:46:37 PM",ConnectionAttempt,162.216.149.154,50754,,TcpV4,,
"Sep 1, 2026 1:46:49 PM",ConnectionAttempt,35.203.211.101,54168,,TcpV4,,
"Sep 1, 2026 1:46:49 PM",ConnectionAttempt,213.209.159.21,61000,,TcpV4,,
"Sep 1, 2026 1:47:08 PM",IcmpConnectionInspected,10.2.0.23,,,Icmp,,
"Sep 1, 2026 1:47:22 PM",ConnectionAttempt,130.12.180.246,38707,,TcpV4,,
"Sep 1, 2026 1:47:24 PM",ConnectionAttempt,162.216.150.132,52063,,TcpV4,,
"Sep 1, 2026 1:47:28 PM",ConnectionAttempt,162.216.149.215,53877,,TcpV4,,
"Sep 1, 2026 1:47:28 PM",ConnectionAttempt,35.203.211.210,54130,,TcpV4,,
"Sep 1, 2026 1:47:34 PM",ConnectionAttempt,66.132.172.234,30410,,TcpV4,,
"Sep 1, 2026 1:47:38 PM",ConnectionAttempt,147.185.132.107,54403,,TcpV4,,
"Sep 1, 2026 1:47:44 PM",ConnectionAttempt,147.185.133.196,50231,,TcpV4,,
"Sep 1, 2026 1:47:44 PM",ConnectionAttempt,178.49.5.49,43151,,TcpV4,,
"Sep 1, 2026 1:47:52 PM",ConnectionAttempt,180.149.125.209,16650,,TcpV4,,
"Sep 1, 2026 1:47:54 PM",ConnectionAttempt,35.203.211.251,50231,,TcpV4,,
"Sep 1, 2026 1:48:02 PM",ConnectionAttempt,147.185.132.160,49750,,TcpV4,,
"Sep 1, 2026 1:48:08 PM",ConnectionAttempt,35.203.211.70,53954,,TcpV4,,
"Sep 1, 2026 1:48:12 PM",ConnectionAttempt,185.224.128.16,51960,,TcpV4,,
"Sep 1, 2026 1:48:18 PM",ConnectionAttempt,154.197.56.163,48751,,TcpV4,,
"Sep 1, 2026 1:48:20 PM",ConnectionAttempt,79.124.58.90,49436,,TcpV4,,
"Sep 1, 2026 1:48:36 PM",ConnectionAttempt,130.12.180.246,45536,,TcpV4,,
"Sep 1, 2026 1:48:36 PM",ConnectionAttempt,162.216.149.93,54779,,TcpV4,,
"Sep 1, 2026 1:48:38 PM",ConnectionAttempt,162.216.149.123,53982,,TcpV4,,
"Sep 1, 2026 1:48:40 PM",ConnectionAcknowledged,20.42.73.24,443,,TcpV4,,
"Sep 1, 2026 1:48:42 PM",ConnectionAttempt,91.196.152.205,22809,,TcpV4,,
"Sep 1, 2026 1:48:58 PM",ConnectionAttempt,79.124.56.222,41587,,TcpV4,,
