TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Sep 1, 2026 8:09:18 PM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T00:09:18.157623Z    93 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 1, 2026 8:09:17 PM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T00:09:17.587375Z    92 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 1, 2026 8:09:16 PM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T00:09:16.883689Z    91 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 1, 2026 8:09:16 PM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T00:09:16.319468Z    90 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 1, 2026 5:36:31 PM",datafiles-corp-s01,,,LogonSuccess,2026-09-01T21:36:31.562125Z    86 Connect 
"Sep 1, 2026 5:01:32 PM",datafiles-corp-s01,root,64.89.163.145,LogonFailure,2026-09-01T21:01:32.445254Z    85 Connect Access denied for user 'root'@'64.89.163.145' (using password: NO)
"Sep 1, 2026 4:28:18 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:18.686761Z    84 Connect root@64.89.163.166 on  using TCP/IP
"Sep 1, 2026 4:28:18 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:18.214875Z    83 Connect root@64.89.163.166 on  using TCP/IP
"Sep 1, 2026 4:28:17 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:17.752700Z    82 Connect root@64.89.163.166 on  using TCP/IP
"Sep 1, 2026 4:28:17 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:17.201715Z    81 Connect root@64.89.163.166 on  using TCP/IP
"Sep 1, 2026 4:28:16 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:16.729639Z    80 Connect root@64.89.163.166 on  using TCP/IP
"Sep 1, 2026 4:28:12 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:12.852530Z    76 Connect root@64.89.163.166 on  using TCP/IP
"Sep 1, 2026 4:28:12 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:12.162582Z    75 Connect root@64.89.163.166 on world using TCP/IP
"Sep 1, 2026 4:28:09 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:09.236855Z    71 Connect root@64.89.163.166 on  using TCP/IP
